timestamp,epoch,iteration,loss,throughput_samp_s,comm_latency_ms,iter_time_ms,rank,world_size,arch
1778536901.6224992,2,80,1.530744,91.87,371.659,1392.098,0,4,compressed_ring_ar
1778536903.0774405,2,81,1.40693,91.13,321.16,1398.997,0,4,compressed_ring_ar
1778536904.4630723,2,82,1.597392,95.48,196.839,1336.451,0,4,compressed_ring_ar
1778536905.841002,2,83,1.42884,97.97,335.409,1302.197,0,4,compressed_ring_ar
1778536907.3294137,2,84,1.556085,88.63,360.788,1440.384,0,4,compressed_ring_ar
1778536908.7588794,2,85,1.469115,93.09,339.86,1370.353,0,4,compressed_ring_ar
1778536910.2020838,2,86,1.659906,91.76,216.47,1389.81,0,4,compressed_ring_ar
1778536911.6420639,2,87,1.59431,92.47,393.85,1379.282,0,4,compressed_ring_ar
1778536913.2665498,2,88,1.453368,81.15,247.153,1571.186,0,4,compressed_ring_ar
1778536914.6604352,2,89,1.452571,95.59,237.842,1334.476,0,4,compressed_ring_ar
1778536916.0474398,2,90,1.522208,96.48,326.477,1319.814,0,4,compressed_ring_ar
1778536917.3738503,2,91,1.470847,99.82,222.208,1277.977,0,4,compressed_ring_ar
1778536918.8075058,2,92,1.634113,93.1,204.067,1370.406,0,4,compressed_ring_ar
1778536920.1760128,2,93,1.423383,97.23,205.909,1310.277,0,4,compressed_ring_ar
1778536921.569629,2,94,1.55623,96.05,240.296,1325.376,0,4,compressed_ring_ar
1778536922.8512297,2,95,1.469297,102.7,196.239,1239.704,0,4,compressed_ring_ar
1778536924.098433,2,96,1.627023,105.58,179.275,1209.724,0,4,compressed_ring_ar
1778536925.348713,2,97,1.482117,68.67,362.121,1215.333,0,4,compressed_ring_ar
1778536936.9675615,3,0,1.423997,86.08,479.939,1485.604,0,4,compressed_ring_ar
1778536938.3078349,3,1,1.449598,99.58,228.551,1278.394,0,4,compressed_ring_ar
1778536939.6043277,3,2,1.52122,101.79,207.944,1252.875,0,4,compressed_ring_ar
1778536940.9669874,3,3,1.544315,96.99,196.036,1310.024,0,4,compressed_ring_ar
1778536942.1345904,3,4,1.499731,113.75,223.967,1120.996,0,4,compressed_ring_ar
1778536943.5236442,3,5,1.595014,95.13,197.551,1340.672,0,4,compressed_ring_ar
1778536945.018286,3,6,1.446214,88.08,284.685,1448.477,0,4,compressed_ring_ar
1778536946.3684602,3,7,1.531835,100.03,625.662,1278.134,0,4,compressed_ring_ar
1778536947.7498412,3,8,1.288259,97.2,188.093,1315.418,0,4,compressed_ring_ar
1778536949.1283407,3,9,1.578401,96.54,200.417,1316.232,0,4,compressed_ring_ar
1778536950.288248,3,10,1.51145,113.74,221.177,1124.049,0,4,compressed_ring_ar
1778536951.6630485,3,11,1.367816,97.79,198.166,1304.2,0,4,compressed_ring_ar
1778536952.8950958,3,12,1.530292,107.32,331.355,1191.322,0,4,compressed_ring_ar
1778536954.21412,3,13,1.528587,100.21,213.159,1269.84,0,4,compressed_ring_ar
1778536955.4517026,3,14,1.478469,106.82,183.354,1193.531,0,4,compressed_ring_ar
1778536956.693718,3,15,1.242802,106.68,230.396,1195.067,0,4,compressed_ring_ar
1778536957.9191778,3,16,1.506049,108.47,221.588,1178.639,0,4,compressed_ring_ar
1778536959.3401852,3,17,1.571931,92.89,257.618,1376.615,0,4,compressed_ring_ar
1778536960.7355723,3,18,1.468515,94.85,190.658,1344.511,0,4,compressed_ring_ar
1778536962.0972533,3,19,1.565437,98.18,207.846,1300.06,0,4,compressed_ring_ar
1778536963.3508563,3,20,1.39697,107.79,269.804,1180.699,0,4,compressed_ring_ar
1778536964.808529,3,21,1.445596,91.56,230.02,1391.743,0,4,compressed_ring_ar
1778536966.1810968,3,22,1.462816,96.56,215.168,1319.337,0,4,compressed_ring_ar
1778536967.4396439,3,23,1.510729,106.29,244.576,1197.467,0,4,compressed_ring_ar
1778536968.7266116,3,24,1.561552,104.01,229.584,1224.376,0,4,compressed_ring_ar
1778536970.0455267,3,25,1.519953,100.39,284.503,1270.198,0,4,compressed_ring_ar
1778536971.285054,3,26,1.439462,106.57,223.255,1194.317,0,4,compressed_ring_ar
1778536972.7011476,3,27,1.370496,92.83,293.508,1372.927,0,4,compressed_ring_ar
1778536974.0807502,3,28,1.295246,96.93,202.929,1315.675,0,4,compressed_ring_ar
1778536975.5764008,3,29,1.543627,88.22,274.012,1445.695,0,4,compressed_ring_ar
1778536976.8274405,3,30,1.422348,111.56,226.752,1142.969,0,4,compressed_ring_ar
1778536978.1636453,3,31,1.574074,99.12,282.536,1287.832,0,4,compressed_ring_ar
1778536979.459883,3,32,1.683447,103.31,218.916,1237.826,0,4,compressed_ring_ar
1778536980.999945,3,33,1.44438,86.11,209.612,1485.077,0,4,compressed_ring_ar
1778536982.4570315,3,34,1.374316,92.34,485.892,1384.577,0,4,compressed_ring_ar
1778536983.8391905,3,35,1.359172,96.53,385.528,1319.356,0,4,compressed_ring_ar
1778536985.1969497,3,36,1.427923,97.95,222.18,1299.67,0,4,compressed_ring_ar
1778536986.563167,3,37,1.364754,96.6,223.113,1317.402,0,4,compressed_ring_ar
1778536987.90985,3,38,1.558221,98.64,266.462,1289.477,0,4,compressed_ring_ar
1778536989.0879219,3,39,1.552789,113.11,193.285,1128.123,0,4,compressed_ring_ar
1778536990.5111206,3,40,1.354509,92.94,342.898,1373.252,0,4,compressed_ring_ar
1778536991.8375459,3,41,1.422307,99.28,303.309,1283.275,0,4,compressed_ring_ar
1778536993.1046479,3,42,1.557144,104.69,192.957,1221.147,0,4,compressed_ring_ar
1778536994.4965875,3,43,1.358411,95.97,274.093,1332.508,0,4,compressed_ring_ar
1778536995.9102921,3,44,1.438884,93.53,223.611,1367.2,0,4,compressed_ring_ar
1778536997.2002027,3,45,1.45835,102.98,178.142,1238.9,0,4,compressed_ring_ar
1778536998.5979059,3,46,1.487248,94.84,265.414,1342.855,0,4,compressed_ring_ar
1778536999.7045627,3,47,1.266264,119.99,216.967,1062.068,0,4,compressed_ring_ar
1778537000.9899201,3,48,1.377103,103.55,221.201,1229.7,0,4,compressed_ring_ar
1778537002.1800797,3,49,1.442558,110.94,219.552,1151.411,0,4,compressed_ring_ar
1778537003.6523974,3,50,1.422355,89.24,401.012,1430.654,0,4,compressed_ring_ar
1778537005.1061196,3,51,1.415762,90.85,185.34,1404.448,0,4,compressed_ring_ar
1778537006.2246552,3,52,1.357574,119.57,216.126,1063.567,0,4,compressed_ring_ar
1778537007.4621449,3,53,1.40069,106.89,190.617,1195.66,0,4,compressed_ring_ar
1778537008.7935443,3,54,1.628325,99.98,193.418,1275.384,0,4,compressed_ring_ar
1778537010.0643463,3,55,1.383722,105.04,227.81,1217.159,0,4,compressed_ring_ar
1778537011.4597313,3,56,1.313531,94.32,384.743,1350.256,0,4,compressed_ring_ar
1778537012.8153622,3,57,1.216646,97.96,241.26,1299.286,0,4,compressed_ring_ar
1778537014.0842276,3,58,1.459324,104.93,224.187,1215.317,0,4,compressed_ring_ar
1778537015.4185753,3,59,1.547541,99.26,299.893,1283.75,0,4,compressed_ring_ar
1778537016.6522934,3,60,1.549972,108.2,238.29,1175.586,0,4,compressed_ring_ar
1778537017.972542,3,61,1.291149,99.75,224.363,1281.882,0,4,compressed_ring_ar
1778537019.2899287,3,62,1.435677,100.77,192.147,1261.79,0,4,compressed_ring_ar
1778537020.6215978,3,63,1.25103,99.33,199.36,1283.81,0,4,compressed_ring_ar
1778537021.9485292,3,64,1.503879,99.58,220.626,1284.032,0,4,compressed_ring_ar
1778537023.3619735,3,65,1.514087,94.13,202.334,1357.839,0,4,compressed_ring_ar
1778537024.665466,3,66,1.286392,101.95,321.272,1250.436,0,4,compressed_ring_ar
1778537025.973066,3,67,1.480932,101.37,198.711,1255.65,0,4,compressed_ring_ar
1778537027.2367828,3,68,1.323466,104.48,201.605,1220.245,0,4,compressed_ring_ar
1778537028.5852344,3,69,1.485464,97.55,211.986,1307.616,0,4,compressed_ring_ar
1778537030.0327322,3,70,1.379891,91.42,213.235,1392.345,0,4,compressed_ring_ar
1778537031.2983537,3,71,1.379297,104.36,309.641,1221.811,0,4,compressed_ring_ar
1778537032.729569,3,72,1.358683,93.41,210.902,1362.74,0,4,compressed_ring_ar
1778537034.0853012,3,73,1.251855,97.35,209.288,1313.673,0,4,compressed_ring_ar
1778537035.5289717,3,74,1.370202,92.39,215.496,1384.246,0,4,compressed_ring_ar
1778537036.65393,3,75,1.506543,122.87,203.388,1034.416,0,4,compressed_ring_ar
1778537038.012868,3,76,1.594809,98.34,214.616,1295.004,0,4,compressed_ring_ar
1778537039.2833347,3,77,1.319395,103.92,234.492,1230.481,0,4,compressed_ring_ar
1778537040.649301,3,78,1.493902,98.22,268.434,1301.748,0,4,compressed_ring_ar
1778537042.0165322,3,79,1.415806,97.17,201.541,1316.0,0,4,compressed_ring_ar
1778537043.3057969,3,80,1.426487,102.42,190.041,1248.478,0,4,compressed_ring_ar
1778537044.604255,3,81,1.430167,102.08,272.697,1247.071,0,4,compressed_ring_ar
